model_name,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,runtime_seconds
Decision Tree,validation,75000,0.88196,0.8868327827708038,0.8435539820619877,0.8868327827708038,0.8599466566307403,0.882412607313374,0.07120030000078259
Decision Tree,test,75000,0.88688,0.8853331136618157,0.8350124411308786,0.8853331136618157,0.8540733721375198,0.8875788896574658,0.06503729999894858
