seed,policy,service_level,net_business_value,total_cost,revenue,unmet_demand,stockout_events,ending_stock,pending_operations,runtime_seconds,ml_fallback_count,fulfilled_units,ending_stock_unit_days,normal_order_units,expedite_order_units,transferred_units
118,RULE_BASED,0.8380744121753807,6265677.4,6903002.6,13168680.0,127217,7036,1974,196,84.78538899999694,0,658434,870172,513342,130376,124522
119,ML_DECISION_TREE,0.6821535029645236,1456132.3499999996,9002167.65,10458300.0,243650,11310,4590,44,290.72116520001146,176,522915,1948673,24779,484594,573362
119,RULE_BASED,0.6174066356787947,836295.3499999996,8639624.65,9475920.0,293601,15262,1843,53,8.62633790000109,0,473796,930093,45971,412044,568834
120,ML_DECISION_TREE,0.6663000104376591,971671.4000000004,7327028.6,8298700.0,207810,13778,3522,55,299.32700950000435,880,414935,1310652,49585,354328,510785
120,RULE_BASED,0.6272206391321627,622204.9000000004,7174135.1,7796340.0,231682,15766,2804,52,8.55550729999959,0,389817,993822,50315,327213,505563
121,ML_DECISION_TREE,0.8000286735661877,4859746.45,7081993.55,11941740.0,149245,8977,2079,168,437.92047090000415,52,597087,871491,353792,229102,169482
121,RULE_BASED,0.7821033495005602,4736620.55,6921959.45,11658580.0,162406,9565,1967,172,58.83599019999383,0,582929,848009,381063,187918,181239
122,ML_DECISION_TREE,0.6495129225406446,2213673.2,8056866.8,10270540.0,277107,16894,2103,88,349.86085569999705,243,513527,1007416,191478,305342,362788
122,RULE_BASED,0.614692376935603,1857112.8499999996,7866927.15,9724040.0,304766,17982,2001,81,19.503458999999566,0,486202,807303,203363,265600,367156
123,ML_DECISION_TREE,0.8287270959530625,5977821.1,8307958.9,14285780.0,147622,5946,4178,136,455.4511113999906,288,714289,1680258,447760,251262,296170
123,RULE_BASED,0.8155617956650594,5777205.05,8268334.95,14045540.0,158819,6844,3489,132,72.33121800000663,0,702277,1434659,447946,238395,314140
124,ML_DECISION_TREE,0.930406913738083,7711439.85,7192860.15,14904300.0,55741,3904,3735,192,525.6753341000003,22,745215,1550643,585392,146758,119525
124,RULE_BASED,0.9077300346788459,7525355.35,7007184.65,14532540.0,73861,4829,3082,195,122.69525230000727,0,726627,1294993,598071,115202,105776
125,ML_DECISION_TREE,0.8643358460301287,7466065.75,8634834.25,16100900.0,126358,5938,2662,217,486.76385540000047,190,805045,1307045,558378,230719,213616
125,RULE_BASED,0.850216994306585,7345516.5,8483823.5,15829340.0,139433,6917,2840,214,100.6240867000015,0,791467,1139890,589002,186271,235019
126,ML_DECISION_TREE,0.7842539898371244,4663914.449999999,8717105.55,13381020.0,184054,9117,3741,144,412.62190520000877,800,669051,1412211,335558,319072,400459
126,RULE_BASED,0.7654087792058474,4488049.9,8559950.1,13048000.0,199955,10264,2789,148,45.96159259999695,0,652400,1212002,346929,290128,393026
127,ML_DECISION_TREE,0.8639269615824651,5930244.7,7631715.3,13561960.0,106804,5690,4234,137,444.82282079999277,384,678098,1716986,467567,197640,325288
127,RULE_BASED,0.8509920748591616,5814720.2,7553939.8,13368660.0,117042,6526,3873,132,71.62476330000209,0,668433,1512276,470571,184465,317388
128,ML_DECISION_TREE,0.8687603425077713,6586999.45,6894840.55,13481840.0,101832,6313,1805,187,423.7517325000081,12,674092,910831,505706,153721,95091
128,RULE_BASED,0.8696679196945309,6628754.25,6868265.75,13497020.0,101136,6373,1892,182,131.71293920000608,0,674851,894135,516317,143955,99711
129,ML_DECISION_TREE,0.6798818952828205,1170346.3499999996,8141533.65,9311880.0,219222,13500,3843,55,282.6212581,576,465594,1441513,51023,402996,586245
129,RULE_BASED,0.6484199443834422,810036.4500000002,8083263.55,8893300.0,241102,14895,2755,40,13.657907800006797,0,444665,1115691,35770,395433,588568
130,ML_DECISION_TREE,0.766889493179173,3806797.9000000004,7750242.1,11557040.0,175649,7289,4857,83,236.15659290000622,296,577852,1907742,287091,278171,391978
130,RULE_BASED,0.7414036890551128,3532066.9000000004,7636453.1,11168520.0,194775,9898,3128,103,42.51363520001178,0,558426,1328662,306738,238386,419692
